Height (mm),Microcontroller Value,Sensing Area (mm2),Average Flux (umol/m2*s),Standard Deviation of Flux (umol/m2*s),Sensing Area (mm2),Normalized ChlF (%),Constant (K),Fluorescence Quantum Yield,Photodiode Current (uA),Photodiode Voltage (mV),Total Canopy Flux (umol/m2*s),Photodiode Ideal Power (mW),Normalized ChlF,Estimated Fluorescence Quantum Yield
55,4095,13263.09313,4377.955106,3965.327171,13263.09313,1,224389.156,0.003043867,0.006967237,0.696723671,58065226.3,5.722355867,1,0.002891793
60,4095,14340.9655,4051.078501,3794.342121,14340.9655,1,223783.1293,0.00327883,0.006967237,0.696723671,58096377.01,5.312288676,1,0.003126805
65,4095,15460.94225,3759.87532,3684.945057,15460.94225,1,222983.0623,0.003518036,0.006967237,0.696723671,58131215.2,4.951083729,1,0.003370997
70,4095,16623.0234,3498.973242,3627.490634,16623.0234,1,221993.3932,0.003761491,0.006967237,0.696723671,58163514.06,4.630634575,1,0.003624369
75,4095,17827.20893,3263.387645,3471.326249,17827.20893,1,221569.8729,0.004024401,0.006967237,0.696723671,58177093.36,4.328119834,1,0.003886922
80,4095,19073.49885,3051.07662,3367.253966,19073.49885,1,220961.7974,0.00429133,0.006967237,0.696723671,58194706.4,4.058903278,1,0.004158654
85,4095,20361.89316,2858.836693,3308.155205,20361.89316,1,220211.4094,0.00456304,0.006967237,0.696723671,58211327.31,3.817212472,1,0.004439567
90,4095,21692.39186,2683.815814,3167.633409,21692.39186,1,219914.1605,0.004853462,0.006967237,0.696723671,58218384.31,3.588797571,1,0.00472966
95,4095,23064.99495,2524.486368,3071.638684,23064.99495,1,219451.8986,0.00514815,0.006967237,0.696723671,58227265.33,3.383369128,1,0.005028933
100,4095,24479.70243,2378.874052,2979.050606,24479.70243,1,219038.0492,0.005452326,0.006967237,0.696723671,58234128.92,3.194616798,1,0.005337386
105,4095,25936.5143,2245.598523,2919.943034,25936.5143,1,218500.742,0.005760874,0.006967237,0.696723671,58242998.18,3.023515657,1,0.005655019
110,4095,27435.43055,2122.998929,2800.988641,27435.43055,1,218306.5445,0.006087889,0.006967237,0.696723671,58245389.67,2.861105522,1,0.005981832
115,4095,28976.4512,2010.251762,2715.608668,28976.4512,1,217986.2065,0.006419396,0.006967237,0.696723671,58249962.07,2.713353547,1,0.006317826
120,4095,30559.57623,1906.283021,2659.731992,30559.57623,1,217556.9959,0.006755574,0.006967237,0.696723671,58255201.3,2.578329008,1,0.006662999
125,4095,32184.80566,1810.074307,2553.619936,32184.80566,1,217417.7463,0.007109885,0.006967237,0.696723671,58256889.79,2.449841628,1,0.007017353
130,4095,33852.13947,1721.004242,2476.508816,33852.13947,1,217162.256,0.00746871,0.006967237,0.696723671,58259675.63,2.332141834,1,0.007380887
135,4095,35561.57768,1638.342716,2402.104591,35561.57768,1,216932.3359,0.007836913,0.006967237,0.696723671,58262051.77,2.222570459,1,0.007753601
140,4095,37313.12027,1561.517192,2350.66201,37313.12027,1,216607.6618,0.008209751,0.006967237,0.696723671,58265078.78,2.121634626,1,0.008135496
145,4095,39106.76725,1489.913485,2261.722403,39106.76725,1,216510.6603,0.008600358,0.006967237,0.696723671,58265699.87,2.025275153,1,0.00852657
150,4095,40942.51862,1423.150463,2194.533595,40942.51862,1,216326.8817,0.00899592,0.006967237,0.696723671,58267364.33,1.936221342,1,0.008926825
155,4095,42820.37438,1360.792477,2146.122021,42820.37438,1,216059.465,0.009396158,0.006967237,0.696723671,58269643.32,1.853746158,1,0.009336259
160,4095,44740.33453,1302.406317,2067.318273,44740.33453,1,215989.9515,0.009814148,0.006967237,0.696723671,58270094.33,1.774794071,1,0.009754874
165,4095,46702.39907,1247.715789,2006.663201,46702.39907,1,215835.82,0.010236801,0.006967237,0.696723671,58271320.71,1.701517075,1,0.010182669
170,4095,48706.568,1196.404028,1963.317044,48706.568,1,215613.2583,0.010664573,0.006967237,0.696723671,58272734.16,1.633266674,1,0.010619644
175,4095,50752.84132,1148.174422,1893.253418,50752.84132,1,215561.6918,0.011109813,0.006967237,0.696723671,58273114.23,1.567811384,1,0.0110658
180,4095,52841.21902,1102.813466,1838.858464,52841.21902,1,215434.5317,0.011559782,0.006967237,0.696723671,58274007.91,1.506783768,1,0.011521135
185,4095,54971.70112,1060.084965,1787.22423,54971.70112,1,215318.5328,0.012019106,0.006967237,0.696723671,58274673.86,1.449200302,1,0.011985651
190,4095,57144.2876,1019.80011,1747.965134,57144.2876,1,215138.3518,0.012483207,0.006967237,0.696723671,58275750.79,1.395321852,1,0.012459347
195,4095,59358.97848,981.7539494,1688.923165,59358.97848,1,215102.932,0.012964801,0.006967237,0.696723671,58275911.55,1.34349082,1,0.012942223
200,4095,61615.77374,945.804906,1642.069893,61615.77374,1,215004.5415,0.013451288,0.006967237,0.696723671,58276501.09,1.294901395,1,0.013434279
205,4095,63914.67339,911.7991448,1606.185804,63914.67339,1,214849.8519,0.013942717,0.006967237,0.696723671,58277344.54,1.249260986,1,0.013935515
210,4095,66255.67744,879.5849942,1553.538742,66255.67744,1,214823.6277,0.014451556,0.006967237,0.696723671,58277499.66,1.205274524,1,0.014445931
215,4095,68638.78587,849.0519867,1511.89481,68638.78587,1,214738.5967,0.014965224,0.006967237,0.696723671,58277897.51,1.163904502,1,0.014965528
220,4095,71063.99869,820.081355,1471.755962,71063.99869,1,214661.1959,0.015488213,0.006967237,0.696723671,58278260.33,1.124603093,1,0.015494304
225,4095,73531.3159,792.5726248,1439.896573,73531.3159,1,214533.277,0.016016052,0.006967237,0.696723671,58278908.05,1.087539671,1,0.016032261
230,4095,76040.7375,766.4178842,1395.103313,76040.7375,1,214514.1348,0.016561116,0.006967237,0.696723671,58278981.14,1.05174624,1,0.016579398
235,4095,78592.26348,741.5400686,1358.708619,78592.26348,1,214448.2673,0.01711137,0.006967237,0.696723671,58279312.45,1.017925049,1,0.017135715
240,4095,81185.89386,717.8562375,1329.998418,81185.89386,1,214336.0031,0.017666514,0.006967237,0.696723671,58279800.31,0.985938229,1,0.017701213
245,4095,83821.62863,695.2839528,1290.21405,83821.62863,1,214323.049,0.018238942,0.006967237,0.696723671,58279833.28,0.954994628,1,0.01827589
250,4095,86499.46778,673.7627013,1257.359077,86499.46778,1,214263.8819,0.018816241,0.006967237,0.696723671,58280115.07,0.925694531,1,0.018859748
255,4095,89219.41133,653.2270092,1231.125488,89219.41133,1,214166.1763,0.019398785,0.006967237,0.696723671,58280529.22,0.897896003,1,0.019452786
260,4095,91981.45926,633.6117541,1195.6924,91981.45926,1,214156.8962,0.019998462,0.006967237,0.696723671,58280533.75,0.870971577,1,0.020055003
265,3975,94785.61159,614.869112,1166.243048,94785.61159,0.970695971,214105.4259,0.019999282,0.006763069,0.67630686,58280744.82,0.845413927,0.970695971,0.020060793
270,3860,97631.8683,596.9459217,1137.762837,97631.8683,0.942612943,214058.5263,0.019999338,0.006567408,0.65674075,58280945.61,0.820953103,0.942612943,0.020065383
275,3751,100520.2294,579.796452,1114.604756,100520.2294,0.915995116,213973.9441,0.020001416,0.006381955,0.63819548,58281272.36,0.797687868,0.915995116,0.020075625
280,3645,103450.6949,563.3725885,1083.826448,103450.6949,0.89010989,213968.5517,0.020002303,0.006201606,0.620160631,58281285.77,0.775111518,0.89010989,0.020077031
285,3543,106423.2648,547.638341,1058.02905,106423.2648,0.865201465,213926.5562,0.019997189,0.006028063,0.602806341,58281460.17,0.75361385,0.865201465,0.020075958
290,3447,109437.939,532.555077,1036.971063,109437.939,0.841758242,213850.8552,0.019999203,0.005864729,0.586472893,58281730.05,0.733120348,0.841758242,0.020085272
295,3354,112494.7177,518.0843209,1009.191427,112494.7177,0.819047619,213847.6631,0.020002851,0.005706499,0.570649864,58281749.43,0.713210652,0.819047619,0.02008925
300,3264,115593.6008,504.1964802,985.9113461,115593.6008,0.797069597,213809.7418,0.019998692,0.005553373,0.555337256,58281886.63,0.694216966,0.797069597,0.02008873
305,3178,118734.5882,490.8593963,963.614929,118734.5882,0.776068376,213775.0505,0.019997551,0.005407052,0.540705208,58281988.27,0.675964287,0.776068376,0.020090913
310,3096,121917.68,478.0456688,944.8702141,121917.68,0.756043956,213709.319,0.019997528,0.005267537,0.526753721,58282218.88,0.658523543,0.756043956,0.020097229
315,3017,125142.8762,465.725582,920.5812733,125142.8762,0.736752137,213707.4806,0.020002583,0.005133127,0.513312654,58282238.87,0.641557959,0.736752137,0.020102496
320,2940,128410.1768,453.8763277,900.2042197,128410.1768,0.717948718,213676.845,0.01999805,0.005002119,0.500211867,58282339.5,0.6253258,0.717948718,0.020100891
325,2867,131719.5818,442.474411,883.0117589,131719.5818,0.7001221,213617.3833,0.019998388,0.004877916,0.48779164,58282544.39,0.609788701,0.7001221,0.020106967
330,2796,135071.0912,431.4953099,861.1828599,135071.0912,0.682783883,213617.554,0.019999397,0.004757117,0.475711694,58282542.37,0.594657541,0.682783883,0.020107965
335,2728,138464.705,420.9204483,842.6588968,138464.705,0.666178266,213588.7558,0.020000506,0.004641422,0.464142167,58282625.7,0.580163027,0.666178266,0.020111849
340,2663,141900.4232,410.7302477,826.9879834,141900.4232,0.65030525,213535.4464,0.020003291,0.004530831,0.453083061,58282795.95,0.566260657,0.65030525,0.020119788
345,2599,145378.2457,400.9045603,807.0995178,145378.2457,0.634676435,213536.6378,0.020001135,0.004421941,0.442194096,58282801.68,0.552711267,0.634676435,0.020117511
350,2538,148898.1726,391.4277892,790.1258169,148898.1726,0.61978022,213510.9221,0.020002137,0.004318156,0.43181555,58282882.53,0.539711762,0.61978022,0.020120998
355,2479,152460.204,382.2830396,773.7388715,152460.204,0.605372405,213487.4781,0.020002291,0.004217773,0.421777285,58282950.19,0.527161216,0.605372405,0.020123409
360,2422,156064.3397,373.4556216,759.6637727,156064.3397,0.591452991,213439.6395,0.019999766,0.004120793,0.4120793,58283104.98,0.515105164,0.591452991,0.020125485
365,2367,159710.5798,364.9293828,742.3363242,159710.5798,0.578021978,213441.7214,0.020002468,0.004027216,0.402721595,58283083.31,0.503339876,0.578021978,0.020127993
370,2314,163398.9243,356.6924397,727.1892385,163398.9243,0.565079365,213420.1036,0.020004101,0.003937042,0.39370417,58283160.95,0.492029312,0.565079365,0.02013173
375,2262,167129.3732,348.731613,714.267665,167129.3732,0.552380952,213376.2495,0.019996806,0.003848569,0.384856885,58283295.9,0.481147956,0.552380952,0.020128616
380,2212,170901.9265,341.0334963,698.4019601,170901.9265,0.54017094,213378.9383,0.019996455,0.003763499,0.376349881,58283281.5,0.470520754,0.54017094,0.020128
385,2164,174716.5841,333.5879155,684.5945674,174716.5841,0.528449328,213358.8016,0.019997257,0.003681832,0.368183156,58283341.1,0.460292064,0.528449328,0.020130749
390,2118,178573.3462,326.3834995,671.2148575,178573.3462,0.517216117,213340.4931,0.020002468,0.003603567,0.360356712,58283393.65,0.450390304,0.517216117,0.020137759
395,2073,182472.2126,319.4100393,658.1065809,182472.2126,0.506227106,213322.2594,0.020003177,0.003527004,0.352700408,58283456.61,0.440805484,0.506227106,0.020140237
400,2029,186413.1835,312.6576432,645.4487449,186413.1835,0.495482295,213304.0096,0.019999711,0.003452142,0.345214244,58283506.6,0.431524049,0.495482295,0.020138504
405,1987,190396.2587,306.1170875,633.1931935,190396.2587,0.485225885,213287.4127,0.020002621,0.003380684,0.33806836,58283548.18,0.422530079,0.485225885,0.020143031
410,1946,194421.4383,299.7799753,622.4894959,194421.4383,0.475213675,213251.1836,0.020000565,0.003310926,0.331092616,58283653.97,0.41385408,0.475213675,0.020144455
415,1906,198488.7223,293.6370425,609.5526148,198488.7223,0.465445665,213254.7893,0.019999611,0.00324287,0.324287013,58283641.38,0.405366659,0.465445665,0.020143145
420,1868,202598.1107,287.6813157,598.1630252,202598.1107,0.456166056,213238.7433,0.020005143,0.003178217,0.317821689,58283691.04,0.397174987,0.456166056,0.020150267
425,1830,206749.6035,281.9051436,588.3467344,206749.6035,0.446886447,213205.6691,0.019996617,0.003113564,0.311356366,58283776.65,0.389261308,0.446886447,0.020144863
430,1794,210943.2006,276.300758,576.43979,210943.2006,0.438095238,213209.5303,0.020001231,0.003052313,0.305231323,58283766.23,0.381515662,0.438095238,0.02014914
435,1759,215178.9022,270.862117,565.9165825,215178.9022,0.42954823,213194.9094,0.0200034,0.002992764,0.29927642,58283812.97,0.374031944,0.42954823,0.020152738
440,1725,219456.7081,265.5824252,555.7751511,219456.7081,0.421245421,213181.6116,0.020005467,0.002934917,0.293491656,58283844.76,0.366764325,0.421245421,0.0201561
445,1691,223776.6185,260.4558383,546.8542998,223776.6185,0.412942613,213151.2077,0.019994285,0.002877069,0.287706893,58283926.75,0.359736416,0.412942613,0.020147764
450,1659,228138.6332,255.4758574,536.2076305,228138.6332,0.405128205,213155.2954,0.019998679,0.002822624,0.28226241,58283912.93,0.352851315,0.405128205,0.020151796
455,1628,232542.7523,250.6375667,526.7654735,232542.7523,0.397557998,213142.7301,0.020002632,0.002769881,0.276988068,58283949.59,0.34618952,0.397557998,0.020156993
460,1597,236988.9758,245.9356025,518.4688771,236988.9758,0.38998779,213114.4306,0.019994207,0.002717137,0.271713725,58284026.56,0.339740556,0.38998779,0.020151232
465,1568,241477.3037,241.3643525,508.639725,241477.3037,0.382905983,213118.6361,0.020003329,0.002667797,0.266779662,58284013.05,0.33341908,0.382905983,0.020160018
470,1539,246007.736,236.9195751,499.8777403,246007.736,0.375824176,213106.7046,0.020000573,0.002618456,0.2618456,58284048.28,0.327297616,0.375824176,0.020158394
475,1511,250580.2727,232.596399,491.4339949,250580.2727,0.368986569,213095.873,0.020000646,0.002570817,0.257081677,58284069.08,0.321341719,0.368986569,0.020159506
480,1484,255194.9137,228.3905493,483.0678329,255194.9137,0.362393162,213085.0126,0.020003956,0.002524879,0.252487895,58284106.52,0.315547445,0.362393162,0.020163896
485,1457,259851.6592,224.2977185,474.9705171,259851.6592,0.355799756,213074.0126,0.019997338,0.002478941,0.247894112,58284134.29,0.309908882,0.355799756,0.020158285
490,1431,264550.509,220.3139096,467.101767,264550.509,0.349450549,213064.0754,0.019994696,0.002434705,0.24347047,58284156.93,0.304418827,0.349450549,0.020156577
